Date,Open
2012-11-22,3930.0
2012-11-23,3968.0
2012-11-26,4094.95
2012-11-27,4071.25
2012-11-29,4115.0
2012-11-30,4305.05
2012-12-03,4320.3
2012-12-04,4371.9
2012-12-05,4351.0
2012-12-06,4372.0
2012-12-07,4337.0
2012-12-10,4330.0
2012-12-11,4344.0
2012-12-12,4326.0
2012-12-13,4337.95
2012-12-14,4326.9
2012-12-17,4250.05
2012-12-18,4260.0
2012-12-19,4295.5
2012-12-20,4435.0
2012-12-21,4436.0
2012-12-24,4375.0
2012-12-26,4371.1
2012-12-27,4436.0
2012-12-28,4356.0
2012-12-31,4394.7
2013-01-01,4445.0
2013-01-02,4426.05
2013-01-03,4397.6
2013-01-04,4408.9
2013-01-07,4437.95
2013-01-08,4385.0
2013-01-09,4395.0
2013-01-10,4380.1
2013-01-11,4363.25
2013-01-14,4310.0
2013-01-15,4365.55
2013-01-16,4298.0
2013-01-17,4275.0
2013-01-18,4341.0
2013-01-21,4312.05
2013-01-22,4330.0
2013-01-23,4413.05
2013-01-24,4444.0
2013-01-25,4418.8
2013-01-28,4405.05
2013-01-29,4386.0
2013-01-30,4439.95
2013-01-31,4497.5
2013-02-01,4538.0
2013-02-04,4548.0
2013-02-05,4625.0
2013-02-06,4644.5
2013-02-07,4610.05
2013-02-08,4618.0
2013-02-11,4530.0
2013-02-12,4540.0
2013-02-13,4524.0
2013-02-14,4475.1
2013-02-15,4511.95
2013-02-18,4515.0
2013-02-19,4490.0
2013-02-20,4579.9
2013-02-21,4548.75
2013-02-22,4502.1
2013-02-25,4558.0
2013-02-26,4497.0
2013-02-27,4381.1
2013-02-28,4380.0
2013-03-01,4299.0
2013-03-04,4331.0
2013-03-05,4347.0
2013-03-06,4442.25
2013-03-07,4425.05
2013-03-08,4592.15
2013-03-11,4665.0
2013-03-12,4761.0
2013-03-13,4725.0
2013-03-14,4781.3
2013-03-15,4890.0
2013-03-18,4980.0
2013-03-19,5004.95
2013-03-20,4899.0
2013-03-21,5000.1
2013-03-22,4899.0
2013-03-25,4975.0
2013-03-26,4880.0
2013-03-28,4894.65
